doc,url,key_effects,key_interaction_detail,notes_mp,notes_amp,notes_general,receptor,stressor,technology,phase,presented_as_potential_interaction,decribed_from_observations_at_the_project_site,monitoring_plan_(mp),adaptive_management_plan_(amp),protection_mitigation_and_enhancement,bmps_applied
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"INJURY, MORTALITY",NA,QUALITATIVE AND QUANTITATIVE ANALYSIS OF SHALLOW SITE FROM 2003-2011,NA,NA,Reptiles,Physical Interaction.Collision,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"CHANGE IN BEHAVIOR, AVOIDANCE",HEARING DISTURBANCE/BEHAVIORAL DISTURBANCE: The potential effects from underwater noise generated by wave and tidal energy converters AND Potential for disturbance from project vessels.,QUALITATIVE AND QUANTITATIVE ANALYSIS OF SHALLOW SITE FROM 2003-2011,NA,NA,Reptiles,Noise,Marine Energy.Wave,4. Decommissioning,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"CHANGE IN BEHAVIOR, AVOIDANCE",NA,NA,NA,NA,Reptiles,EMF,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"CHANGE IN BEHAVIOR, AVOIDANCE",NA,NA,NA,NA,Reptiles,EMF,Marine Energy.Wave,4. Decommissioning,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Reptiles,Habitat Change,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Reptiles,Physical Interaction.Entrapment,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"COLLISION, INJURY/MORTALITY",DIRECT LOSS OF COLONY IN PART OR WHOLE BY PROJECT EQUPTMENT,NA,NA,NA,Invertebrates,Physical Interaction.Collision,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"COLLISION, INJURY/MORTALITY",DIRECT LOSS OF COLONY IN PART OR WHOLE BY PROJECT EQUPTMENT,NA,NA,NA,Invertebrates,Physical Interaction.Collision,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"COLLISION, INJURY/MORTALITY",DIRECT LOSS OF COLONY IN PART OR WHOLE BY PROJECT EQUPTMENT,NA,NA,NA,Invertebrates,Physical Interaction.Collision,Marine Energy.Wave,4. Decommissioning,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,INDIRECT TURBIDITY,INDIRECT:TURBIDITY DUE TO HANDHELD ROCK DRILLING WHILE SECURING CABLE TO BENTHOS,NA,NA,NA,Invertebrates,Habitat Change,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,INDIRECT TURBIDITY,INDIRECT:TURBIDITY DUE TO HANDHELD ROCK DRILLING WHILE SECURING CABLE TO BENTHOS,NA,NA,NA,Invertebrates,Habitat Change,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,INDIRECT TURBIDITY,INDIRECT:TURBIDITY DUE TO HANDHELD ROCK DRILLING WHILE SECURING CABLE TO BENTHOS,NA,NA,NA,Invertebrates,Habitat Change,Marine Energy.Wave,4. Decommissioning,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,"""NAVFAC EXWC 2011"" REFERANCED FOR BASELINE ANALYSIS: CORALS OBSERVED COLONIZING THE SHALLOW WETS CABLE",NA,NA,Invertebrates,EMF,Marine Energy.Wave,ALL,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Invertebrates,Noise,Marine Energy.Wave,ALL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,THERMAL POLLUTION AND BENTHOS/CORAL,NA,NA,NA,Invertebrates,Habitat Change,Marine Energy.Wave,ALL,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"COLLISION, INJURY/MORTALITY","CONCERN THAT DURING CABLE LAYING THE CABLE IS PLACED ON CORAL COLONY SMOTHERING, OR FOR A CABLE TO BUMP AND DISLODGE COLONY.",NA,NA,NA,Invertebrates,Physical Interaction.Collision,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Fish,Physical Interaction.Collision,Marine Energy.Wave,ALL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, BIODIVERSITY CHANGE",THERMAL POLLUTION AND FISH,NA,NA,NA,Fish,Habitat Change,Marine Energy.Wave,ALL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Fish,Noise,Marine Energy.Wave,ALL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Fish,EMF,Marine Energy.Wave,ALL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Fish,Physical Interaction.Entrapment,Marine Energy.Wave,ALL,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,AVOIDANCE,RECREATIONAL VESSELS WOULD BE DIVERTED FROM PROJECT EQUIPTMENT DURING CONSTRUCTION,NA,NA,NA,Human Dimensions.Recreation & Tourism,Behavioral Interaction.Avoidance,Marine Energy.Wave,1. Site Characterization and Assessment,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WETS EA APRIL 2014,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"AVOIDANCE, INJURY",EMF AFFECTING THE HEALTH AND SAFETY OF RECREATIONAL DIVERS IN THE VICINITY OF THE PROJECT EQUIPTMENT,NA,NA,NA,Human Dimensions.Recreation & Tourism,EMF,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,DITURBANCE,CHANGE IN OCEAN DYNAMICS,"""NAVFAC EXWC 2011""",NA,NA,Physical Environment,Physical Interaction.Changes in Flow,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",NOISE ASSOCIATED WITH DRILLS BOLTING CABLE TO SUBSTRATE,"""NAVFAC EXWC 2011""",NA,NA,Marine Mammals.Pinnipeds,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE, POTENTIAL HARM",NOISE ASSOCIATED WITH DRILLS BOLTING CABLE TO SUBSTRATE,"""NAVFAC EXWC 2011""",NA,NA,Marine Mammals.Cetaceans,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",NOISE ASSOCIATED WITH DRILLS BOLTING CABLE TO SUBSTRATE,"""NAVFAC EXWC 2011""",NA,NA,Reptiles,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISTURBANCE, RISK OF COLLISION, INJURY/MORTALITY",IMPACTS OF INSTALL ON THE BENTHIC COMMUNITY,"""NAVFAC EXWC 2011""",NA,NA,Invertebrates,Behavioral Interaction.Displacement,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Marine Mammals.Pinnipeds,Physical Interaction.Entrapment,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Marine Mammals.Cetaceans,Physical Interaction.Entrapment,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,NA,NA,NA,NA,Reptiles,Physical Interaction.Entrapment,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,AVOIDANCE,INTERACTION SUSPECTED FROM NO IMPACT TO AVOIDANCE FOR NON SESSILE BENTHIC ORGANISMS,NA,NA,NA,Invertebrates,EMF,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,THERMAL POLLUTION,NA,NA,NA,ALL,Habitat Change,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, BIODIVERSITY CHANGE",NA,"""NAVFAC EXWC 2011""",NA,NA,Marine Mammals.Cetaceans,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
WETS EA JANUARY 2003,https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, BIODIVERSITY CHANGE",NA,"""NAVFAC EXWC 2011""",NA,NA,Reptiles,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"COLLISION, INJURY/MORTALITY",MONITORING DEVICE AND IT'S COMPONENTS FOR LOCATION AND DEGREDATION OF ELEMENTS TO PREVENT UNANTICIPATED IMPACTS,NA,NA,NA,ALL,Physical Interaction.Collision,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,ARTIFICIAL REEF,INVERTEBRATE GROWTH ON SYSTEM EQUIPTMENT AND ACTION/DECISION OF EQUIPTMENT REMOVAL OR REMAIN IN PLACE FOR BENIFIT OF NON SESSILE INVERTEBRATE SP.,NA,NA,NA,Invertebrates,Behavioral Interaction.Displacement,Marine Energy.Wave,4. Decommissioning,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"RISK OF COLLISION, INJURY",THE ABILITY FOR LOOSE AND LOOPING CABLE TO DIRECTLY HARM MARINE WILDLIFE AND/OR THE ABILITY FOR MARINE WILDLIFE TO ENTER THE BOUY AND BECOME ENTRAPED,NA,NA,NA,Reptiles,Physical Interaction.Entrapment,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"RISK OF COLLISION, INJURY",THE ABILITY FOR LOOSE AND LOOPING CABLE TO DIRECTLY HARM MARINE WILDLIFE AND/OR THE ABILITY FOR MARINE WILDLIFE TO ENTER THE BOUY AND BECOME ENTRAPED,NA,NA,NA,Marine Mammals.Pinnipeds,Physical Interaction.Entrapment,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"RISK OF COLLISION, INJURY",THE ABILITY FOR LOOSE AND LOOPING CABLE TO DIRECTLY HARM MARINE WILDLIFE AND/OR THE ABILITY FOR MARINE WILDLIFE TO ENTER THE BOUY AND BECOME ENTRAPED,NA,NA,NA,Marine Mammals.Cetaceans,Physical Interaction.Entrapment,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",INSTALLATION NOISE EFFECTS ON MARINE LIFE,NA,NA,NA,Fish,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",INSTALLATION NOISE EFFECTS ON MARINE LIFE,NA,NA,NA,Marine Mammals.Pinnipeds,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",INSTALLATION NOISE EFFECTS ON MARINE LIFE,NA,NA,NA,Marine Mammals.Cetaceans,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",INSTALLATION NOISE EFFECTS ON MARINE LIFE,NA,NA,NA,Reptiles,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,"DISRUPTION OF BEHAVIOR, AVOIDANCE",INSTALLATION NOISE EFFECTS ON MARINE LIFE,NA,NA,NA,Invertebrates,Noise,Marine Energy.Wave,2. Construction,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"WETS EA JANUARY 2003: ATTACHMENT A-4, ENCLOSURE 8: WAVE ENERGY CONVERSION TEST PROJECT @ MCBH KANEOHE BAY",https://drive.google.com/drive/u/1/folders/1EYK5JBWao979AIN_j-SzPaUcZ3gQAwG7#,NA,ANY EMF EFFECTS ON RECREATIONAL DIVERS,NA,NA,NA,Human Dimensions.Recreation & Tourism,EMF,Marine Energy.Wave,3. Operations and Maintenance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
