rowid,Interaction,Specific Management Measures,Implications of Measure
46,Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,"Ensure standard notifications of loss of fishing gear in region notified to operators.
Reporting of entanglement events.",Good practice for emergency preparedness.
47,Potential risk of entrapment within device chambers and mooring arrays.,Release entrapped animal.,Animal may be deceased before it is able to be released.
48,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer of non-native species.
49,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Reduces/removes risk of transfer and settlement of non-native species.
50,The potential effects from underwater noise generated during installation/ construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites i.e. known seal haul outs during sensitive periods, defining appropriate clearance distances where necessary.","This could reduce potential effects on sensitive species during sensitive periods, however may could increase project construction timescales e.g. if continuous drilling time is restricted or specific periods need to be avoided."
51,Potential for collision with project vessels.,Adhere to minimum approach distances for vessels on approach.,Reduces potential effects and is a relatively low cost measure.
52,Potential for disturbance from project vessels.,Reduce speed and maintain steady course when animal is sighted.,Reduces potential effects and is a relatively low cost measure.
53,Disturbance at seal haul-out sites from project vessels.,Avoid transiting within 500m of known seal haul outs.,Reduces potential effects and is a relatively low cost measure.
54,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. Although, use of lower toxicity materials may compromise performance, or impact other technical issues (e.g. fluid changes)."
55,Potential for marine animals to become entangled in device mooring lines and cables.,Maintain taut mooring lines.,"Removes/reduces risk of entanglement, however mooring design is driven by technical and economic consideration. An entanglement record is a good way to track events."
56,Potential for marine animals to become entangled in device mooring lines and cables.,"Routine inspections of mooring lines.
Implement features into existing control systems to detect entanglement events.",Removes/reduces risk of entanglement and is a low cost monitoring capability.
57,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduces/removes risk of transfer and settlement of non-native species.
58,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduces/removes risk of transfer and settlement of non-native species.
59,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduces/removes risk of transfer and settlement of non-native species.
60,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive littoral habitat due to devices and associated moorings, support structures or landfall cables.","Micrositing of landfall cables and infrastructure  to minimise the impact on sensitive habitats and species.  Best practice techniques for cable installation, burial and protection.",NA
61,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Establish and implement a Biofouling Management Plan.,Reduce/remove risk of transfer and settlement of non-native species.
62,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Adhere to appropriate measures when jettisoning ballast water.,Reduce/remove risk of transfer and settlement of non-native species.
63,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Source vessels locally.,Reduce/remove risk of transfer and settlement of non-native species.
64,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Management: Establish and implement a Contamination Control Plan / Ship Oil Contamination Emergency Plans (SOPEPs).
Compliance with International Maritime Organization (IMO) and Maritime Coastguard Agency (MCA) codes for the prevention of contamination.",Reduces risk of any contamination event and ensures that contingency plans are in place. Demonstrates compliance with environmental management systems.
65,Potential for collision with turbine blades.,Selective structural and blade coatings i.e. colours to aide detection.,"Unknown - it is possible that this will aid detection of subsea structures and help reduce risk although further research is needed - certain colours may serve to attract fish and lead to an increase in collision risk. 
A small one off cost that can be easily planned for at the design stage."
66,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Material selection - lubricants, coolants, hydraulic fluids etc. selected with low ecotoxicity levels and biodegradable.","Reduces/removes risk of contamination from materials which may have escaped structure. However, the use of lower toxicity materials may compromise performance, or impact other technical issue (e.g. fluuid changes)."
67,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive littoral habitat due to devices and associated moorings, support structures or landfall cables.",None identified.,NA
68,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive sub-littoral seabed due to scour or siltation around devices and associated moorings, support structures and export cables.","Micrositing of export cables and infrastructure  to minimize the impact on sensitive habitats and species.  Best practice techniques for cable installation, burial and protection.","Reduces, limits or offsets potential impacts on sensitive habitats and species."
69,Impacts of electromagnetic fields from landfall cables on sensitive species,Install cable protection/armor,NA
70,Impacts of electromagnetic fields from landfall cables on sensitive species,Use of 3-phase cables instead of DC cables,NA
71,Impacts of electromagnetic fields from landfall cables on sensitive species,Maximize length of any drilled boreholes,NA
72,The introduction of infrastructure and artificial substrates may generate additional habitat diversity.,Structure colonization and biofouling surveys.,"Informs understanding of potential for increased prey availability and ecological diversity which could benefit future project applications, however there is a cost implication associated with monitoring."
73,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices associated moorings or support structures on the seabed.,Minimize footprint of anchors / foundations.,"This could reduce effects on sensitive habitats, however the size of anchors/foundations likely to be that which is suitable for the safe and optimal operation of devices."
74,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,"Use of locally sourced materials, for cable protection, of the same type as the habitat to be disturbed by cable installation.",Minimize impact on biodiversity/ ecosystem.
75,Modifications to tidal flows affect prey distribution and abundance resulting in changes to foraging behaviour.,Observational surveys (including remote sensing) of species (prey availability linked to benthic community).,Reduces scientific uncertainty.
76,Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,Ensure standard notifications of loss of fishing gear in region notified to operators. Reporting of entanglement events.,Good practice for emergency preparedness.
77,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviours.,"Informs understanding of potential positive impacts from colonisation and use of the project infrastructure which could benefit future project applications, however there is a cost implication associated with monitoring."
78,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Compliance with all relevant guidance (including IMO guidelines) regarding ballast water management and transfer of non-native species.,Would remove/reduce risk of transfer and settlement of non-native species.
79,Potential for disturbance from project vessels.,Adhere to minimum approach distances for vessels on approach to marine mammals and birds.,"Reduces potential effects and is a relatively low cost measure, however effectiveness of mitigation is unclear. Can increase the time of operational procedures and thus increase cost.
Further monitoring, e.g. defining of approach distances and then comparing these to see which are most effective would validate the efficacy of the measure."
80,Potential displacement of essential activities due to the presence of devices and associated moorings / support structures,None identified.,NA
81,Impacts of electromagnetic fields from subsea cables on sensitive species.,Bundle cables together to reduce field vectors.,"Reduce the level of EMF to surrounding water column and therefore any potential effects.
Could result in there being less redundancy in the system and potential commercial and technical feasibility issues."
82,Impacts of electromagnetic fields from landfall cables on sensitive species.,Install cable protection/armour.,NA
83,Impacts of electromagnetic fields from landfall cables on sensitive species.,Maximise length of any drilled boreholes.,NA
84,Potential for marine animals to become entangled in device mooring lines and cables.,Maintain taut mooring lines.,"Would remove/reduce risk of entanglement, however mooring design driven by technical and commercial consideration. Entanglement records are a useful way to track events."
85,The potential effects from airborne noise generated during installation/construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites i.e. known seal haul outs and important cliff nesting sites, during sensitive periods, defining appropriate clearance distances where necessary.","This could reduce potential effects on sensitive species during sensitive periods, however may could increase project construction timescales e.g. if continuous drilling time is restricted or specific periods need to be avoided."
86,Modifications to prey distribution and abundance (to include for other receptors) resulting in changes to foraging behaviour.,Observational surveys (including remote sensing) of bird and marine mammals (prey availability linked to benthic community).,"Would result in a reduction of scientific uncertainty around the interaction, however determining impacts against natural variability may be difficult and monitoring expensive."
87,Potential for collision with turbine blades.,Environmental monitoring to detect collision events.,"Understand avoidance behaviour, nature of interactions and  outcome of collision events, however effective monitoring is expensive and requires a lot of data analysis."
88,Potential for marine animals to become entangled in device mooring lines and cables.,Install tension sensors on mooring lines.,"Informs of problem with mooring lines allowing rectification, however this comes at an additional cost and control system integration requirement."
89,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviours .,"Informs understanding of potential positive impacts from colonisation and use of the project infrastructure which could benefit future project applications, however there is a cost implication associated with monitoring."
90,Potential for disturbance from project vessels.,Care will be taken to avoid splitting up groups and mothers and young.,Reduces potential effects and is a relatively low cost measure.
91,Potential for marine animals to become entangled in device mooring lines and cables.,Fishing debris detected during routine inspections of mooring lines and cables will be removed.,"Removes/reduces risk of entanglement and is a low cost measure, implemented as part of standard O&M procedures."
92,Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,"Fisheries management: Agreement with fishermen not to fish near to the device, warning of the dangers of losing equipment.",Reduces potential for entanglement of fishing gear in mooring lines and thus potential for entanglement of sea turtles.
93,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive littoral habitat due to changes in tidal flow around devices and associated moorings, support structures or landfall cables.","Pre and post installation monitoring of sensitive benthic communities, based on visual surveys.",NA
94,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviours.,"Informs understanding of potential for colonisation, however there is a cost implication associated with monitoring."
95,Potential for collision with turbine blades.,Environmental monitoring to detect collision events.,"Helps to develop an understanding of avoidance behaviour, nature of interactions and  outcome of collision events. However, there are cost implications assocaited with this level of monitoring."
118,Direct loss of protected or sensitive intertidal communities from changes in hydrodynamics due to nearshore WECs.,Micrositing of nearshore WECs  to minimise the impact on sensitive habitats and species.,NA
96,Potential for collision with turbine blades.,Install a 'detect and shut-down' system using active sonar and other appropriate monitoring equipment.,"This could reduce/remove risk of collision with moving blades and enable a route through the consenting process, particulalrly at high sensitivity locations. However, this could affect power production, is expensive to implement and does not help to reduce scientific uncertainty regarding the risk. The reductions in power production, although small, would bring about uncertainty in the investment process and there are questions around impacts of sonar on sensitive species."
97,Potential for collision with turbine blades.,"Implement a 'soft start'/cut in speed management approach during cut-in at sensitive sites, i.e. those where the potential for collisions is high.","Soft start - this could reduce risk by allowing marine mammals time to move away from the turbine and could be done at a relatively low cost.
Cut in speed management - this could be used to reduce risk during periods of known higher activity in sensitive sites. 
It is still unclear whether these offer additional mitigation and to an extent a soft start happens naturally. Implementation of this measure could result in a loss of revenue for the developer."
98,Impacts of electromagnetic fields from subsea cables on sensitive species.,Use of 3-phase cables instead of DC cables.,"Reduces the level of EMF to surrounding water column and therefore any potential effects, however there are potential commercial and technical feasibility issues surrounding the specific project requirements as well as some disagreement as to the efficacy of this measure."
99,Impacts of electromagnetic fields from subsea cables on sensitive species.,Bury or HDD cables where possible and viable.,"Reduces the level of EMF to surrounding water column and therefore any potential effects, however the implementation of this measure may have an impact on surrounding benthic habitats and sensitive species. Also reduces 'snagging risk' for vessels.
This measure forms part of normal project design."
100,Impacts of electromagnetic fields from landfall cables on sensitive species,Strategic use of rock placement/other cable protection,NA
101,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviors .,"Informs understanding of potential positive impacts from colonization and use of the project infrastructure which could benefit future project applications, however there is a cost implication associated with monitoring."
102,The potential effects from airborne noise generated during installation/construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites i.e. known seal haul outs and important cliff nesting sites, during sensitive periods, defining appropriate clearance distances where necessary.","This could reduce potential effects on sensitive species during sensitive periods, but could increase project construction timescales and thus costs e.g. if continuous drilling time is restricted or specific periods need to be avoided."
103,Potential for collision with turbine blades.,Environmental monitoring to better understand near-field behaviour and avoidance.,"Would reduce scientific uncertainty around the issue, however can be costly to implement."
104,Potential displacement of essential activities due to the presence of devices and associated moorings / support structures.,None identified.,NA
105,Potential for marine animals to become entangled in device mooring lines and cables.,Routine inspections of mooring lines. Implement features into existing control systems to detect entanglement events.,Would remove/reduce risk of entanglement and is a low cost monitoring capability.
106,The introduction of infrastructure and artificial substrates will provide potential roosting habitat.,Monitor use of device as a roosting platform.,"Reduces scientific uncertainty around collision risk, displacement and other impacts, however this type of monitoring can be expensive."
107,Impacts of electromagnetic fields from subsea cables on sensitive species.,Install cable protection/ armour/ rock placement/  other cable protection.,"Reduces the level of EMF to surrounding water column and therefore any potential effects. 
Reduces 'snagging risk' for vessels and may create habitat for species.
Potential for adverse impacts on surrounding benthic habitats and sensitive species, e.g. from smothering.
This measure forms part of normal project design."
108,Impacts of electromagnetic fields from landfall cables on sensitive species.,Limit cable voltage.,NA
109,Impacts of electromagnetic fields from landfall cables on sensitive species.,Strategic use of rock placement/other cable protection.,NA
110,Potential for marine animals to become entangled in device mooring lines and cables.,Cable design with maximum bend radius.,"Would remove/reduce risk of entanglement, however cable design driven by technical and commercial consideration. Entanglement records are a useful way to track events."
111,Potential for marine animals to become entangled in lost fishing gear or other equipment trapped on infrastructure.,"Ensure standard notifications of loss of fishing gear in region notified to operators. 
Reporting of entanglement events.",Good practice for emergency preparedness.
112,The introduction of infrastructure and artificial substrates will provide habitat and artificial refuges.,Monitor near-field behaviours.,"Informs understanding of potential positive impacts from colonisation and use of the project infrastructure which could benefit future project applications. However, there is a cost implication associated with monitoring."
113,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices associated moorings or support structures on the seabed.,Minimise footprint of anchors / foundations.,"This could reduce effects on sensitive habitats, however may impact technical considerations."
114,Direct loss of protected or sensitive sub-littoral seabed communities due to the presence of devices and associated moorings or support structures on the seabed.,"Use of locally sourced materials, for cable protection, of the same type as the habitat to be disturbed by cable installation.",Minimise impact on biodiversity/ ecosystem.
115,Potential for collision with turbine blades.,Environmental monitoring to better understand near-field behaviour and avoidance.,"This will help reduce scientific uncertainty, however monitoring can be costly."
116,The potential effects from underwater noise generated by wave and tidal energy converters.,Measure noise generated by device(s) during operation to better understand the potential effects on sensitive species.,"Measured noise levels can be correlated with threshold values of relevant species to determine impact and need for adaptive management measures, however this can be complex  and costly to undertake this type of monitoring in high energy environments."
117,Potential risk of entrapment within device chambers and mooring arrays.,Release entrapped animal.,NA
119,Potential for collision with turbine blades.,Selective structural and blade coatings i.e. colours to aide detection.,"Unknown - it is possible that this will aid detection of subsea structures and help reduce risk at a low cost. Lack of understanding and further research needed, it may be that certain colours could result in attraction resulting in an increase in collision risk."
120,Potential for collision with turbine blades.,Selective structural and blade coatings i.e. colours to aide detection.,"Unknown - it is possible that this will aid detection of subsea structures and help reduce risk. It can be captured in early project design for a small one-off cost, however further research is needed as there is potential for an increased collision risk through 'attraction'."
121,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of tidal flow arising from devices and  moorings or support structures.,"Pre and post installation monitoring of sensitive benthic communities, based on diver, drop down, static visual surveys (camera) or grab sampling.","Would result in a reduction of scientific uncertainty, however interpretation of data for statistical purposes may not have power to detect change generated by impact. In addition it may  require correlation with detailed Computational Fluid Dynamics studies and physical flow measurements."
122,Impacts of electromagnetic fields from landfall cables on sensitive species,Limit cable voltage,NA
123,Impacts of electromagnetic fields from landfall cables on sensitive species,Lay cables in natural crevices,NA
124,Impacts of electromagnetic fields from landfall cables on sensitive species,Bundle cables together to reduce field vectors,NA
125,Potential for marine animals to become entangled in device mooring lines and cables.,Maintain taut mooring lines.,"Would remove/reduce risk of entanglement, however mooring design driven by technical and commercial consideration.
Entanglement records are a useful way to track events."
126,Potential for lighting to adversely affect nocturnal and migratory species.,"Consider type, colour and use of lighting during design and consultation  with navigational stakeholders.",A targeted lighting plan may have the potential to reduce impacts on sensitive species but navigational safety takes precedence.
127,Impacts of electromagnetic fields from subsea cables on sensitive species.,Use of 3-phase cables instead of DC cables.,"Reduce the level of EMF to surrounding water column and therefore any potential effects.
Potential commercial and technical feasibility issues some disagreement as to efficacy of this measure. Additionally, the cables used will largely depend upon the project requirements."
128,Impacts of electromagnetic fields from subsea cables on sensitive species.,Bury or HDD cables where possible and viable.,"Reduces the level of EMF to surrounding water column and therefore any potential effects. 
Reduces 'snagging risk' for vessels.
Potential for adverse impacts on surrounding benthic habitats and sensitive species, e.g. from smothering.
This measure forms part of normal project design."
129,Impacts of electromagnetic fields from landfall cables on sensitive species.,Use of 3-phase cables instead of DC cables.,NA
130,Impacts of electromagnetic fields from landfall cables on sensitive species.,Bundle cables together to reduce field vectors.,NA
131,Potential for collision with turbine blades.,Install a 'detect and deter' system using a combination of active sonar and acoustic deterrent device (ADD).,"This could reduce likelihood of collision with moving blades although the efficacy of ADDs in these environments is unknown and habituation to ADDs is known to occur in other industries. Could enable a route through the consenting process.
This measure is expensive to implement and it is still unknown if deterrent systems will help reduce risk. There are also questions around the effects of ADDs on sensitive species. Their addition adds another noise impact which must also be considered in any project assessments. Would rely on well proven and reliable 'detect and deter' systems. Also, mitigation against collision may prevent discovering whether or not it is a real issue.
Further research around ADDs which deter specific groups or species, is underway. This could be useful  in deterring  specific sensitive species or species groups, at a particular site. For example, University of St Andrews is seveloping an ADD which deter seals, but which don't effect cetaceans."
132,Potential for marine animals to become entangled in device mooring lines and cables.,Maintain taut mooring lines.,"Removes/reduces risk of entanglement, however mooring design tends to be driven by technical and commercial consideration. An entanglement record is a useful way to track events."
133,"The potential wider or secondary effects (siltation changes or smothering) on protected or sensitive littoral habitat due to devices and associated moorings, support structures or landfall cables.","Periodic visual monitoring through the use of divers, drop down video or  intertidal shore surveys.",NA
134,Loss of intertidal habitat from trenching for cable landfall.,Pre-construction cable route surveys to avoid sensitive habitats.,NA
135,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and  moorings or support structures.,Standard benthic and intertidal surveys focused on indicator species.,"Would result in a reduction of scientific uncertainty around the interaction, however determining impacts against natural variability may be difficult."
136,Potential for collision with turbine blades.,"Implement a 'soft start'/cut in speed management approach at sensitive sites, i.e. those where the potential for collisions is high.","Soft start - this could reduce risk by allowing marine mammals time to move away from the turbine and could be done at a relatively low cost.
Cut in speed management - this could be used to reduce risk during periods of known higher activity in sensitive sites. 
It is still unclear whether these offer additional mitigation and to an extent a soft start happens naturally. Implementation of this measure could result in a loss of revenue for the developer."
