KEY INTERACTION DETAIL,n,key_interaction_detail
"ANY DEVICE RELATED ENTANGLEMENT, INJURY, STRANDING HAZARDS TO MARINE MAMMALS",1,"Any Device Related Entanglement, Injury, Stranding Hazards To Marine Mammals"
ANY EMF EFFECTS ON RECREATIONAL DIVERS,1,Any Emf Effects On Recreational Divers
ANY EMF EFFECTS ON THE GENERAL VARIETY OF MARINE LIFE,8,Any Emf Effects On The General Variety Of Marine Life
"Appropriate inspection techniques will be used to view underwater components of the project, including looking for any accumulation of derelict fishing gear on the buoy system, with the results being recorded by suitable means.",1,"Appropriate Inspection Techniques Will Be Used To View Underwater Components Of The Project, Including Looking For Any Accumulation Of Derelict Fishing Gear On The Buoy System, With The Results Being Recorded By Suitable Means."
AREAS TO BE AVOIDED BY FISHERS,2,Areas To Be Avoided By Fishers
"As part of the Fish and Invertebrates Study, OPT will evaluate if the project affects the local (scale: tens of meters) distribution and abundance of adult Dungeness crab (see Section 5.C.3, Marine Life; Appendix C). This will allow for determination of whether there is an effect of the project on the crab fishery.",1,"As Part Of The Fish And Invertebrates Study, Opt Will Evaluate If The Project Affects The Local (Scale: Tens Of Meters) Distribution And Abundance Of Adult Dungeness Crab (See Section 5.C.3, Marine Life; Appendix C). This Will Allow For Determination Of Whether There Is An Effect Of The Project On The Crab Fishery."
"At full build out, the arrays of WECs at PacWave South are not anticipated to significantly impact wave energy and related habitat-forming processes. Likewise, the absorption of wave energy at PacWave South would not affect species or habitats listed in the Oregon Nearshore Strategy.",1,"At Full Build Out, The Arrays Of Wecs At Pacwave South Are Not Anticipated To Significantly Impact Wave Energy And Related Habitat-Forming Processes. Likewise, The Absorption Of Wave Energy At Pacwave South Would Not Affect Species Or Habitats Listed In The Oregon Nearshore Strategy."
ATLANTIC BUTTERFISH,1,Atlantic Butterfish
ATLANTIC HERRING,2,Atlantic Herring
ATLANTIC MACKEREL,1,Atlantic Mackerel
"Based on the existing information, the short term and temporary sounds from vessels transiting to or from the Project site and within the Project site itself (i.e., hours or less as the vessels pass), and from cable laying during installation and deployment of WECs, as well as from continuous sounds from the WECs, even though they would occur over the 25-year license term, are not likely to adversely fishes for several reasons: the area affected (e.g., up to 125 m around the WECs) would be insignificant compared to the range of most fish species that would pass through the Project area, and, there is similar and abundant habitat available in the surrounding area that they could move to if they are exposed or disturbed by the sounds. In addition, sounds emitted from the WECs or from vessel traffic are unlikely to be significantly greater than existing conditions, given the high level of vessel traffic already present in the vicinity of the Project area in association with the Port of Newport.",2,"Based On The Existing Information, The Short Term And Temporary Sounds From Vessels Transiting To Or From The Project Site And Within The Project Site Itself (I.e., Hours Or Less As The Vessels Pass), And From Cable Laying During Installation And Deployment Of Wecs, As Well As From Continuous Sounds From The Wecs, Even Though They Would Occur Over The 25-Year License Term, Are Not Likely To Adversely Fishes For Several Reasons: The Area Affected (E.g., Up To 125 M Around The Wecs) Would Be Insignificant Compared To The Range Of Most Fish Species That Would Pass Through The Project Area, And, There Is Similar And Abundant Habitat Available In The Surrounding Area That They Could Move To If They Are Exposed Or Disturbed By The Sounds. In Addition, Sounds Emitted From The Wecs Or From Vessel Traffic Are Unlikely To Be Significantly Greater Than Existing Conditions, Given The High Level Of Vessel Traffic Already Present In The Vicinity Of The Project Area In Association With The Port Of Newport."
"Because the length of cables exposed on the seabed is small (2 km for each cable) compared to other cables spanning Puget Sound and compared to the scale of Admiralty Inlet, the likelihood of these species passing within 3.1 inches of the cable - the distance needed to experience a magnetic field greater than the earth’s natural magnetic field - results in the likelihood of exposure to EMF being de minimis. This analysis indicates that the effects of EMF on individual fish, as well as populations, will be discountable and insignificant.",1,"Because The Length Of Cables Exposed On The Seabed Is Small (2 Km For Each Cable) Compared To Other Cables Spanning Puget Sound And Compared To The Scale Of Admiralty Inlet, The Likelihood Of These Species Passing Within 3.1 Inches Of The Cable - The Distance Needed To Experience A Magnetic Field Greater Than The Earth’s Natural Magnetic Field - Results In The Likelihood Of Exposure To Emf Being De Minimis. This Analysis Indicates That The Effects Of Emf On Individual Fish, As Well As Populations, Will Be Discountable And Insignificant."
"Because the Project provides structure in a marine environment that has little to no other options for temporary roost sites, hoary bats could roost on the WECs or marker buoys rarely, possibly putting them at risk of predation during daylight hours, although
they would already be susceptible to predation if flying during the day while at sea. Therefore, no significant impacts on bats are expected in the marine environment.",1,"Because The Project Provides Structure In A Marine Environment That Has Little To No Other Options For Temporary Roost Sites, Hoary Bats Could Roost On The Wecs Or Marker Buoys Rarely, Possibly Putting Them At Risk Of Predation During Daylight Hours, Although
They Would Already Be Susceptible To Predation If Flying During The Day While At Sea. Therefore, No Significant Impacts On Bats Are Expected In The Marine Environment."
"Because the project turbines would be located in the middle of the river and at a depth of more than 3 feet below the water surface, bank fishing and the use of small boats or sea planes would not be impeded by the project when it is operating; however, fishing lines from anglers in the immediate location of the submerged facility could become entangled with the facility. During the periodic removal and re-installation of the facility, however, boaters and sea planes may need to avoid or maneuver around the area where these activities are being conducted. Such potential effects would occur only twice a year for a duration of about one week and overall would not adversely affect recreation in the project area.",2,"Because The Project Turbines Would Be Located In The Middle Of The River And At A Depth Of More Than 3 Feet Below The Water Surface, Bank Fishing And The Use Of Small Boats Or Sea Planes Would Not Be Impeded By The Project When It Is Operating; However, Fishing Lines From Anglers In The Immediate Location Of The Submerged Facility Could Become Entangled With The Facility. During The Periodic Removal And Re-Installation Of The Facility, However, Boaters And Sea Planes May Need To Avoid Or Maneuver Around The Area Where These Activities Are Being Conducted. Such Potential Effects Would Occur Only Twice A Year For A Duration Of About One Week And Overall Would Not Adversely Affect Recreation In The Project Area."
"BENTHIC ORGANISMS: Summary – The total area of benthic habitat disturbed at the test site would be very small relative to the range of and available marine habitat for species that use the Project area, and minor in comparison to surrounding available habitat (for full build out, maximum direct effects to the seafloor would occur for about 0.1 percent of the Project area [2 acres] and maximum indirect effects to the seafloor would occur for about 3 percent [48 acres] of the Project area). Effects at PacWave South are expected to be minimized given that anchor installation/removal is not likely to occur more than once a year in a berth and anchors may be deployed for multi-year periods. Any effects on prey availability due to WECs or anchors (if there are any) is expected to be extremely minor, localized, short-term, and temporary, though intermittent throughout the 25- year license term. Thus, benthic habitat disturbance is not expected to adversely affect Project area fish and invertebrates.",1,"Benthic Organisms: Summary – The Total Area Of Benthic Habitat Disturbed At The Test Site Would Be Very Small Relative To The Range Of And Available Marine Habitat For Species That Use The Project Area, And Minor In Comparison To Surrounding Available Habitat (For Full Build Out, Maximum Direct Effects To The Seafloor Would Occur For About 0.1 Percent Of The Project Area [2 Acres] And Maximum Indirect Effects To The Seafloor Would Occur For About 3 Percent [48 Acres] Of The Project Area). Effects At Pacwave South Are Expected To Be Minimized Given That Anchor Installation/Removal Is Not Likely To Occur More Than Once A Year In A Berth And Anchors May Be Deployed For Multi-Year Periods. Any Effects On Prey Availability Due To Wecs Or Anchors (If There Are Any) Is Expected To Be Extremely Minor, Localized, Short-Term, And Temporary, Though Intermittent Throughout The 25- Year License Term. Thus, Benthic Habitat Disturbance Is Not Expected To Adversely Affect Project Area Fish And Invertebrates."
BIOSECURITY,1,Biosecurity
BIOSECURITY MONITORING RE: INSTALLATION AND MAINTENANCE PRACTICES,2,Biosecurity Monitoring Re: Installation And Maintenance Practices
"BIOSECURITY, USE OF ANTIFOULING PAINT USE ON SOME BUT NOT ALL STRUCTURES",2,"Biosecurity, Use Of Antifouling Paint Use On Some But Not All Structures"
BLACK SEA BASS,1,Black Sea Bass
BLUEFISH,1,Bluefish
"By burying the transmission cable within the bed of an access road, OPT will minimize the terrestrial aesthetic effects of the project.OPT will conduct a Visual Assessment Review, involving viewing the project from the beach, the top of a dune near the beach, and Umpqua Lighthouse with interested members of the Recreation and Public Safety Subgroup following the installation of the first PowerBuoy, which will be deployed prior to the array.",1,"By Burying The Transmission Cable Within The Bed Of An Access Road, Opt Will Minimize The Terrestrial Aesthetic Effects Of The Project.opt Will Conduct A Visual Assessment Review, Involving Viewing The Project From The Beach, The Top Of A Dune Near The Beach, And Umpqua Lighthouse With Interested Members Of The Recreation And Public Safety Subgroup Following The Installation Of The First Powerbuoy, Which Will Be Deployed Prior To The Array."
CHANGE IN BIOLOGICAL COMMUNITY DUE TO DEVICE AND OPERATION,1,Change In Biological Community Due To Device And Operation
"Change in migration route within area of the project - A number of projects each
extending 3 to 5 miles in a north-south direction may inhibit cetaceans from passing
 Underwater noise/vibration is a potential effect of concern for cetaceans. Because of concern of noise/vibration to other marine organisms as well, it is discussed as a separate bullet below.
 east or west of the parks, thus potentially altering their migration as well as local
movement patterns.",1,"Change In Migration Route Within Area Of The Project - A Number Of Projects Each
Extending 3 To 5 Miles In A North-South Direction May Inhibit Cetaceans From Passing
 Underwater Noise/Vibration Is A Potential Effect Of Concern For Cetaceans. Because Of Concern Of Noise/Vibration To Other Marine Organisms As Well, It Is Discussed As A Separate Bullet Below.
 East Or West Of The Parks, Thus Potentially Altering Their Migration As Well As Local
Movement Patterns."
CHANGE IN OCEAN DYNAMICS,2,Change In Ocean Dynamics
CHANGES IN THE BIOLOGICAL COMMUNITY BASED ON DEVICE OPERATION- CABLE LINES.,1,Changes In The Biological Community Based On Device Operation- Cable Lines.
"Changes to the local habitat associated with the deployment of a wave energy array may attract structure-oriented fish, such as rockfish. This effect is not necessarily negative; artificial structures may benefit rockfish (Love et al. 2006) and may enhance local fisheries. However, the project does differ from many artificial reefs in that the PowerBuoy mooring structures are widely spaced in the array, the mooring lines are only 5 inches in diameter, and the anchors are located at depths of at least 204 feet (62 meters); artificial reef structures are often in shallower water. Therefore, to what degree the project structures will serve as artificial reefs is uncertain.The PowerBuoy array may also act as a Fish Aggregation Device (FAD) for pelagic fish and invertebrates.",1,"Changes To The Local Habitat Associated With The Deployment Of A Wave Energy Array May Attract Structure-Oriented Fish, Such As Rockfish. This Effect Is Not Necessarily Negative; Artificial Structures May Benefit Rockfish (Love Et Al. 2006) And May Enhance Local Fisheries. However, The Project Does Differ From Many Artificial Reefs In That The Powerbuoy Mooring Structures Are Widely Spaced In The Array, The Mooring Lines Are Only 5 Inches In Diameter, And The Anchors Are Located At Depths Of At Least 204 Feet (62 Meters); Artificial Reef Structures Are Often In Shallower Water. Therefore, To What Degree The Project Structures Will Serve As Artificial Reefs Is Uncertain.the Powerbuoy Array May Also Act As A Fish Aggregation Device (Fad) For Pelagic Fish And Invertebrates."
"Changes to the local habitat associated with the installation of the Project may attract structure- oriented fish, such as rockfish. The Project may act as an artificial reef or fish aggregation device for pelagic fish and invertebrates. If so, related changes to the local marine community, predator- prey interactions, or the distribution and abundance of marine species around the Project installation site are also possible.",4,"Changes To The Local Habitat Associated With The Installation Of The Project May Attract Structure- Oriented Fish, Such As Rockfish. The Project May Act As An Artificial Reef Or Fish Aggregation Device For Pelagic Fish And Invertebrates. If So, Related Changes To The Local Marine Community, Predator- Prey Interactions, Or The Distribution And Abundance Of Marine Species Around The Project Installation Site Are Also Possible."
CLEARNOSE SKATE,1,Clearnose Skate
COBIA,1,Cobia
CONCERN OVER ANTI FOULING PAINT AFFECTING WATER QUALITY,1,Concern Over Anti Fouling Paint Affecting Water Quality
CONCERN OVER DEVICE LUBRICANTS AFFECTING WATER QUALITY,1,Concern Over Device Lubricants Affecting Water Quality
"CONCERN THAT DURING CABLE LAYING THE CABLE IS PLACED ON CORAL COLONY SMOTHERING, OR FOR A CABLE TO BUMP AND DISLODGE COLONY.",1,"Concern That During Cable Laying The Cable Is Placed On Coral Colony Smothering, Or For A Cable To Bump And Dislodge Colony."
"Conclusions - Noise associated with Project installation, maintenance, or removal may cause fish species to avoid the Project area, but because these activities would be short term and temporary, it is not expected to cause adverse effects to fish species. Because noise associated with Project installation or maintenance, would be short term and temporary, especially in comparison to the very heavy shipping noise that is so prevalent in the heavily used Admiralty Inlet, it is not expected to cause adverse effects to marine mammals.",1,"Conclusions - Noise Associated With Project Installation, Maintenance, Or Removal May Cause Fish Species To Avoid The Project Area, But Because These Activities Would Be Short Term And Temporary, It Is Not Expected To Cause Adverse Effects To Fish Species. Because Noise Associated With Project Installation Or Maintenance, Would Be Short Term And Temporary, Especially In Comparison To The Very Heavy Shipping Noise That Is So Prevalent In The Heavily Used Admiralty Inlet, It Is Not Expected To Cause Adverse Effects To Marine Mammals."
"Construction vessels and the turbine unit would create a small obstacle to boaters and float planes in the center of the river during installation, maintenance and removal of the submerged project facilities. While boats generally do not anchor in the middle of the river at the project site due to the strong currents, any anchors deployed along the margins of the river could come into contact with project cables. To minimize such contact, IVC proposes to bury and shield the cable. In addition, commercial fishing lines or nets could become entangled with, or damaged by, the submerged hydrokinetic facilities.",6,"Construction Vessels And The Turbine Unit Would Create A Small Obstacle To Boaters And Float Planes In The Center Of The River During Installation, Maintenance And Removal Of The Submerged Project Facilities. While Boats Generally Do Not Anchor In The Middle Of The River At The Project Site Due To The Strong Currents, Any Anchors Deployed Along The Margins Of The River Could Come Into Contact With Project Cables. To Minimize Such Contact, Ivc Proposes To Bury And Shield The Cable. In Addition, Commercial Fishing Lines Or Nets Could Become Entangled With, Or Damaged By, The Submerged Hydrokinetic Facilities."
CONTAMINATION,3,Contamination
"Deployment and operation of the Igiugig Project has the potential to affect the presence, abundance, spatial distribution, and behavior, as well as injury and mortality, of fish and marine mammals in the Kvichak River. The project could cause fish to avoid the area completely, to attract fish to the structure itself, and possibly injure or kill them if they encounter the rotating blades or other moving parts. The RivGen system is a relatively new technology that is still in the demonstration phase. The possible effects on fish are not fully known at this time. As such, IVC proposes to implement a Fish Monitoring Plan and an Adaptive Management Plan (discussed further below) to monitor, evaluate and mitigate the possible effects of the RivGen system on aquatic animals.",5,"Deployment And Operation Of The Igiugig Project Has The Potential To Affect The Presence, Abundance, Spatial Distribution, And Behavior, As Well As Injury And Mortality, Of Fish And Marine Mammals In The Kvichak River. The Project Could Cause Fish To Avoid The Area Completely, To Attract Fish To The Structure Itself, And Possibly Injure Or Kill Them If They Encounter The Rotating Blades Or Other Moving Parts. The Rivgen System Is A Relatively New Technology That Is Still In The Demonstration Phase. The Possible Effects On Fish Are Not Fully Known At This Time. As Such, Ivc Proposes To Implement A Fish Monitoring Plan And An Adaptive Management Plan (Discussed Further Below) To Monitor, Evaluate And Mitigate The Possible Effects Of The Rivgen System On Aquatic Animals."
"Deployment and operation of the Igiugig Project has the potential to introduce contaminants into the Kvichak River. The barges and boats used to deploy the device and the device itself could spill or leak fuel, lubricants, oil, or other contaminants into the river. Alaska DFG recommends that IVC develop and implement a Fuel and Hazardous Substances Spill Plan. The plan would include measures for clean-up in the event of spills or leaks of fuel, lubricants, oil, or other contaminants from the RivGen system or associated equipment. The plan would be developed in consultation with Alaska DFG.",2,"Deployment And Operation Of The Igiugig Project Has The Potential To Introduce Contaminants Into The Kvichak River. The Barges And Boats Used To Deploy The Device And The Device Itself Could Spill Or Leak Fuel, Lubricants, Oil, Or Other Contaminants Into The River. Alaska Dfg Recommends That Ivc Develop And Implement A Fuel And Hazardous Substances Spill Plan. The Plan Would Include Measures For Clean-Up In The Event Of Spills Or Leaks Of Fuel, Lubricants, Oil, Or Other Contaminants From The Rivgen System Or Associated Equipment. The Plan Would Be Developed In Consultation With Alaska Dfg."
DEVICE EFFECT,1,Device Effect
DEVICE ITSELF MAY SERVE AS GOOD BENTHIC HABITAT FOR SOME SPECIES,1,Device Itself May Serve As Good Benthic Habitat For Some Species
direct effects to the benthic community from placement of project mooring components and subsea transmission cable on the seabed,1,Direct Effects To The Benthic Community From Placement Of Project Mooring Components And Subsea Transmission Cable On The Seabed
"direct effects to the benthic community from placement of project mooring components and subsea transmission cable on the seabed.  scale project components, and the increase of open ocean structure that these components represent, may lead to development of artificial reefs and fish aggregation devices over a few square miles (cumulatively), thus potentially changing the marine community composition and predator/prey interactions in areas associated with the wave park footprints.",1,"Direct Effects To The Benthic Community From Placement Of Project Mooring Components And Subsea Transmission Cable On The Seabed.  Scale Project Components, And The Increase Of Open Ocean Structure That These Components Represent, May Lead To Development Of Artificial Reefs And Fish Aggregation Devices Over A Few Square Miles (Cumulatively), Thus Potentially Changing The Marine Community Composition And Predator/Prey Interactions In Areas Associated With The Wave Park Footprints."
DIRECT LOSS OF COLONY IN PART OR WHOLE BY PROJECT EQUPTMENT,3,Direct Loss Of Colony In Part Or Whole By Project Equptment
"Direct observations of the data indicated that individual fish and schools that were headed toward rotating blades generally avoided the blades by adjusting their horizontal swimming direction slights and angling away (ORNL/Verdant, 2016) The data collected to date appears to indicate a limited likelihood for fish harm or mortality. The slow tip speed of KHPS units (32 rpm now reduced to 28 rpm), lack of ducted pinch points; and ample opportunity for fish movement away from the turbine area indicates minimal opportunity for harm. During the RITE 2006-2009 Deployments #1, #2, and #3, there was no observed evidence of increased fish mortality or injury, nor was any irregular bird activity observed.",2,"Direct Observations Of The Data Indicated That Individual Fish And Schools That Were Headed Toward Rotating Blades Generally Avoided The Blades By Adjusting Their Horizontal Swimming Direction Slights And Angling Away (Ornl/Verdant, 2016) The Data Collected To Date Appears To Indicate A Limited Likelihood For Fish Harm Or Mortality. The Slow Tip Speed Of Khps Units (32 Rpm Now Reduced To 28 Rpm), Lack Of Ducted Pinch Points; And Ample Opportunity For Fish Movement Away From The Turbine Area Indicates Minimal Opportunity For Harm. During The Rite 2006-2009 Deployments #1, #2, And #3, There Was No Observed Evidence Of Increased Fish Mortality Or Injury, Nor Was Any Irregular Bird Activity Observed."
DISTURBANCE,2,Disturbance
"During severe storm events, strong wind and waves may cause crab pots to drift and become entangled in the WEC mooring lines. Nevertheless, the overall potential impact on commercial and recreational fishing from the Project is expected to be minor because of the small Project footprint relative to the surrounding open ocean. If the surface equipment attracts fish, it is likely that recreational fishers would use the area near PacWave South for recreational fishing, so the actual impact on recreational fishing would be minor or potentially positive.",1,"During Severe Storm Events, Strong Wind And Waves May Cause Crab Pots To Drift And Become Entangled In The Wec Mooring Lines. Nevertheless, The Overall Potential Impact On Commercial And Recreational Fishing From The Project Is Expected To Be Minor Because Of The Small Project Footprint Relative To The Surrounding Open Ocean. If The Surface Equipment Attracts Fish, It Is Likely That Recreational Fishers Would Use The Area Near Pacwave South For Recreational Fishing, So The Actual Impact On Recreational Fishing Would Be Minor Or Potentially Positive."
"During the installation and construction of the wave park, a number of vessels, including tugs, barges, cranes, and workboats will be employed. Each of these vessels contains fuel, hydraulic fluid, and potentially other hazardous materials.  The anti-fouling paint used on project components will leach slowly, but because the project area is located in open ocean at depths of 200 feet or greater, leachate will be dispersed and represent negligible effects to the marine community.",1,"During The Installation And Construction Of The Wave Park, A Number Of Vessels, Including Tugs, Barges, Cranes, And Workboats Will Be Employed. Each Of These Vessels Contains Fuel, Hydraulic Fluid, And Potentially Other Hazardous Materials.  The Anti-Fouling Paint Used On Project Components Will Leach Slowly, But Because The Project Area Is Located In Open Ocean At Depths Of 200 Feet Or Greater, Leachate Will Be Dispersed And Represent Negligible Effects To The Marine Community."
EFFECTS OF ALTERED HABITAT ON AQUATIC RESOURCES,1,Effects Of Altered Habitat On Aquatic Resources
"Effects on Water Quality
Potential effects of the project on water quality include the following:
■ Spills during construction and operation and maintenance,
■ Fluid leakage from project components, and
■ Leachate from antifouling paint.",1,"Effects On Water Quality
Potential Effects Of The Project On Water Quality Include The Following:
■ Spills During Construction And Operation And Maintenance,
■ Fluid Leakage From Project Components, And
■ Leachate From Antifouling Paint."
EFH ANALYSIS,1,Efh Analysis
EMF AFFECTING THE HEALTH AND SAFETY OF RECREATIONAL DIVERS IN THE VICINITY OF THE PROJECT EQUIPTMENT,1,Emf Affecting The Health And Safety Of Recreational Divers In The Vicinity Of The Project Equiptment
ESA ANALYSIS,3,Esa Analysis
"Even during times of low visibility or high winds, seabirds are unlikely to collide with above-surface structures of the Project because the relative proportion of seabirds that may encounter WECs would be low, given the relatively small area of the above-surface structures (maximum of 20 WECs, and each WEC is expected to extend less than 10–12 m above water) compared to their available at-sea habitat and the density of seabirds in the Project area.",1,"Even During Times Of Low Visibility Or High Winds, Seabirds Are Unlikely To Collide With Above-Surface Structures Of The Project Because The Relative Proportion Of Seabirds That May Encounter Wecs Would Be Low, Given The Relatively Small Area Of The Above-Surface Structures (Maximum Of 20 Wecs, And Each Wec Is Expected To Extend Less Than 10–12 M Above Water) Compared To Their Available At-Sea Habitat And The Density Of Seabirds In The Project Area."
EXPECTED MINIMAL,1,Expected Minimal
FAD,1,Fad
"FISHING AND RECREATIONAL BOATING: The need to provide an exclusion zone around the area proposed for the East Channel Pilot Project will necessarily restrict use of this area for recreational boating and fishing. However, this area currently receives minimal use and ample boating and fishing opportunities will continue to exist throughout the remainder of the East Channel.",1,"Fishing And Recreational Boating: The Need To Provide An Exclusion Zone Around The Area Proposed For The East Channel Pilot Project Will Necessarily Restrict Use Of This Area For Recreational Boating And Fishing. However, This Area Currently Receives Minimal Use And Ample Boating And Fishing Opportunities Will Continue To Exist Throughout The Remainder Of The East Channel."
"Following construction, the proposed terrestrial Project components would be underground and would not affect the recreational qualities and usage of Driftwood Beach State Recreation Site. OSU’s plan to develop and install an interpretive display, if acceptable to and in coordination with OPRD, describing PacWave South in the parking lot would enhance the recreational qualities of the site by heightening Project awareness and appreciation by beach visitors.",1,"Following Construction, The Proposed Terrestrial Project Components Would Be Underground And Would Not Affect The Recreational Qualities And Usage Of Driftwood Beach State Recreation Site. Osu’s Plan To Develop And Install An Interpretive Display, If Acceptable To And In Coordination With Oprd, Describing Pacwave South In The Parking Lot Would Enhance The Recreational Qualities Of The Site By Heightening Project Awareness And Appreciation By Beach Visitors."
GEOLOGY AND SOIL DISTURBANCE,1,Geology And Soil Disturbance
