title,description,provider,provider_url,downloads_piped,downloads_n,metadatas_piped,metadatas_n
2011 Vessel Density: Pleasure Craft and Sailing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of pleasure craft and sailing vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastPleasureCraftSailingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesPleasureCraftSailingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoPleasureCraftSailingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastPleasureCraftSailingVesselDensity2011.zip,4,https://inport.nmfs.noaa.gov/inport/item/48917,1
2011 Vessel Density: Tanker,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of tanker vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastTankerVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesTankerVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoTankerVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastTankerVesselDensity2011.zip,4,https://inport.nmfs.noaa.gov/inport/item/48923,1
2011 Vessel Density: Tug and Towing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of tug and towing vessel traffic in 2011 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/EastCoastTugTowingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GreatLakesTugTowingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/GulfofMexicoTugTowingVesselDensity2011.zip|ftp://ftp.coast.noaa.gov/pub/MSP/2011AIS/WestCoastTugTowingVesselDensity2011.zip,4,https://inport.nmfs.noaa.gov/inport/item/48927,1
2011 Vessel Traffic (AIS),"Derived from 2011 Automatic Identification System (AIS) broadcast returns. Each vessel count per aliquot represents the number of vessels traveling through the block during the year of 2011. An aliquot measures 1/16 of a full OCS leasing block or 1200 x 1200 meters. Only areas where BOEM publishes Official Protraction Diagrams will contain the aliquot AIS counts, therefore, large areas of inland state waters may be missing aliquot AIS counts.  The data has also been clipped so that any aliquot that touches land has been deleted so that the user can discern the location of the coastline.  Vessel count and types can be viewed by downloading the data.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/Renewable-Energy-Program/Mapping-and-Data/AIS_count_all_vessels_atl_2011_shapefile.aspx|http://www.boem.gov/AIS-count-vessels-west-coast-2011-shapefile/,2,http://metadata.boem.gov/geospatial/US_West_Coast_AIS_Density_All_Ships_2011_by_Type.xml|http://www.boem.gov/Renewable-Energy-Program/Mapping-and-Data/AIS_count_all_vessels_atl_2011_shapefile.aspx,2
2012 - 2017 Outer Continental Shelf Oil and Gas Leasing Program,"Oil and gas resource management of the Outer Continental Shelf (OCS) is governed by the OCS Lands Act (OCSLA) which sets forth procedures for leasing, exploration, development and production. OCSLA sec. 18 requires the preparation of an oil and gas leasing program with a 5-year schedule of lease sales to best meet U.S. energy needs. The Department of the Interior’s Bureau of Ocean Energy Management (BOEM) is responsible for preparing the leasing program. BOEM has prepared a Five Year Program for 2012-2017. This data is from the Proposed Final Program (PFP), the third in a series of mandated leasing proposals developed for public review before the Secretary of the Interior approves the new Five Year Program for 2012-2017. This data will be replaced with the Final Five Year Program layers once it has been approved. The areas shown in this layer represents the largest areas that may be considered for leasing within the 5 year period.",Bureau of Ocean Energy Management,http://www.boem.gov/,http://www.boem.gov/Oil-and-Gas-Energy-Program/Mapping-and-Data/Alaska/ak_5yr.aspx|https://www.data.boem.gov/Mapping/Files/Boem2012-2017FinalProgramAreas.zip,2,http://metadata.boem.gov/geospatial/AK_2012_2017_5Yr.xml,1
2013 Vessel Density,"Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the
location and characteristics of many vessels in U.S. and international waters in real-time. This dataset
represents the density of all vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensity2013.zip,1,https://inport.nmfs.noaa.gov/inport/item/48932,1
2013 Vessel Density: Cargo,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of cargo vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityCargo2013.zip,1,https://inport.nmfs.noaa.gov/inport/item/48933,1
2013 Vessel Density: Fishing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of fishing vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityFishing2013.zip,1,https://inport.nmfs.noaa.gov/inport/item/48934,1
2013 Vessel Density: Passenger,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of passenger vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityPassenger2013.zip,1,https://inport.nmfs.noaa.gov/inport/item/48935,1
2013 Vessel Density: Pleasure Craft and Sailing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of pleasure craft and sailing vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityPleasureCraftSailing2013.zip,1,https://inport.nmfs.noaa.gov/inport/item/48936,1
2013 Vessel Density: Tanker,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of tanker vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityTanker2013.zip,1,https://inport.nmfs.noaa.gov/inport/item/48937,1
2013 Vessel Density: Tug and Towing,Automatic Identification Systems (AIS) are a navigation safety device that transmits and monitors the location and characteristics of many vessels in U.S. and international waters in real-time. This dataset represents the density of tug and towing vessel traffic in 2013 for the US Atlantic and West Coast from vessels with AIS transponders in 100 meter grid cells. The dataset is best interpreted using a high to low density scale and does not represent actual vessel counts.,MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2013AIS/VesselDensityTugTowing2013.zip,1,https://inport.nmfs.noaa.gov/inport/item/48938,1
2015 Vessel Transit Counts: All Vessels,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. All vessel types have been included in this summary, including null and none reported types. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2015AIS/VesselTransitCounts2015.zip,1,https://inport.nmfs.noaa.gov/inport/item/54958,1
2015 Vessel Transit Counts: Cargo,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to cargo vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2015AIS/VesselTransitCounts2015.zip,1,https://inport.nmfs.noaa.gov/inport/item/55361,1
2015 Vessel Transit Counts: Fishing,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to fishing vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2015AIS/VesselTransitCounts2015.zip,1,https://inport.nmfs.noaa.gov/inport/item/55361,1
2015 Vessel Transit Counts: Passenger,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to passenger vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2015AIS/VesselTransitCounts2015.zip,1,https://inport.nmfs.noaa.gov/inport/item/55361,1
2015 Vessel Transit Counts: Pleasure Craft and Sailing,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to pleasure craft and sailing vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2015AIS/VesselTransitCounts2015.zip,1,https://inport.nmfs.noaa.gov/inport/item/55361,1
2015 Vessel Transit Counts: Tanker,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to tanker vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2015AIS/VesselTransitCounts2015.zip,1,https://inport.nmfs.noaa.gov/inport/item/55361,1
2015 Vessel Transit Counts: Tug and Tow,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to tug and towing vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2015AIS/VesselTransitCounts2015.zip,1,https://inport.nmfs.noaa.gov/inport/item/55361,1
2016 Vessel Transit Counts: All Vessels,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. All vessel types have been included in this summary, including null and none reported types. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2016AIS/VesselTransitCounts2016.zip,1,https://inport.nmfs.noaa.gov/inport/item/54957,1
2016 Vessel Transit Counts: Cargo,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to cargo vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2016AIS/VesselTransitCounts2016.zip,1,https://inport.nmfs.noaa.gov/inport/item/55362,1
2016 Vessel Transit Counts: Fishing,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to fishing vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2016AIS/VesselTransitCounts2016.zip,1,https://inport.nmfs.noaa.gov/inport/item/55362,1
2016 Vessel Transit Counts: Passenger,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to passenger vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2016AIS/VesselTransitCounts2016.zip,1,https://inport.nmfs.noaa.gov/inport/item/55362,1
2016 Vessel Transit Counts: Pleasure Craft and Sailing,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to pleasure craft and sailing vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2016AIS/VesselTransitCounts2016.zip,1,https://inport.nmfs.noaa.gov/inport/item/55362,1
2016 Vessel Transit Counts: Tanker,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to tanker vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2016AIS/VesselTransitCounts2016.zip,1,https://inport.nmfs.noaa.gov/inport/item/55362,1
2016 Vessel Transit Counts: Tug and Tow,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to tug and towing vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2016AIS/VesselTransitCounts2016.zip,1,https://inport.nmfs.noaa.gov/inport/item/55362,1
2017 Vessel Transit Counts: All Vessels,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. All vessel types have been included in this summary, including null and none reported types. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2017AIS/VesselTransitCounts2017.zip,1,https://inport.nmfs.noaa.gov/inport/item/55365,1
2017 Vessel Transit Counts: Cargo,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to cargo vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2017AIS/VesselTransitCounts2017.zip,1,https://inport.nmfs.noaa.gov/inport/item/55363,1
2017 Vessel Transit Counts: Fishing,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to fishing vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2017AIS/VesselTransitCounts2017.zip,1,https://inport.nmfs.noaa.gov/inport/item/55363,1
2017 Vessel Transit Counts: Passenger,"Vessels traveling in U.S. coastal and inland waters frequently use Automatic Identification Systems (AIS) for navigation safety. The U.S. Coast Guard collects AIS records using shore-side antennas. These records have been filtered and converted from a series of points to a set of track lines, and then summarized at a 100 m grid cell resolution. A single transit is counted each time a vessel track passes through, starts, or stops within a grid cell. This layer is depicting transits attributed to passenger vessels.",MarineCadastre.gov,https://www.marinecadastre.gov/,ftp://ftp.coast.noaa.gov/pub/MSP/2017AIS/VesselTransitCounts2017.zip,1,https://inport.nmfs.noaa.gov/inport/item/55363,1
