Technology,Management_Measure_Category,Project_Phase,Stressor,Receptor,Specific_Receptor,Interaction,Specific_Management_Measures,Implications_of_Measure,Comments_on_Past_Experience,Cost_of_Management_Measure,When_Is_It_Needed,Advantages,Challenges,Project_Documents,Project_Sites
"Wave, Tidal",Design feature,Operation & Maintenance,Displacement,Birds,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Site selection (taking into account cumulative impact of other developments).,NA,NA,NA,NA,Minimizes risk of development causing displacement by avoiding migratory routes or other important sites.,NA,"Environmental Appraisal (EA) for the Argyll Tidal Demonstrator Project, Lashy Sound Tidal Array Scoping Report, Ness of Duncansby Scoping Report","Argyll Tidal Demonstrator Project, Ness of Duncansby Tidal Array"
Tidal,Mitigation,Operation & Maintenance,Collision risk,Marine Mammals,NA,Potential for collision with turbine blades.,Install propeller guards.,NA,NA,NA,NA,NA,NA,Fairhead Tidal Environmental Impact Assessment Scoping Document,Fair Head Tidal Array
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Reptiles,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,"Modelling to predict the interaction between changes in tidal flow, flux, and turbulence structure and animals.",NA,NA,NA,NA,Reduces scientific uncertainty so appropriate management measures can be employed,Limited management measures available to minimise interaction despite modelling to fully predict interaction,NA,NA
Tidal,Monitoring,Operation & Maintenance,Changes in water flow,Fish,NA,Modifications to prey distribution and abundance (to include for other receptors) resulting in changes to foraging behaviour.,"Modelling to predict the interaction between changes in tidal flow, flux, and turbulence structure and animals.",NA,NA,NA,NA,Reduces scientific uncertainty so appropriate management measures can be employed.,Limited management measures available to minimise interaction despite modelling to fully predict interaction.,NA,NA
"Wave, Tidal",Mitigation,Operation & Maintenance,Vessel disturbance,Fish,"Elasmobranch, large fish",Potential for disturbance from project vessels.,Use smaller vessels for maintenance purposes.,Reduces potential effects and is a relatively low cost measure.,NA,NA,NA,Reduces potential effects and is a relatively low cost measure.,NA,"Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan","Wello Penguin at EMEC, EMEC Billia Croo Grid-Connected Wave Test Site"
"Wave, Tidal","Monitoring, Compliance","Installation, Operation & Maintenance, Decommissioning",Marine Non-Native Species (MNNS),Benthic,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Monitoring and reporting of MNNS.,Reduce/removes risk of transfer of non-native species.,NA,NA,Needed to comply with all relevant guidelines and regulations.,Reduce/remove risk of transfer and settlement of non-native species.,NA,"Lashy Sound Tidal Array Scoping Report, EMEC Billia Croo Test Site: Environmental Appraisal, Magallanes ATIR: Project Environmental Monitoring Plan","EMEC Billia Croo Grid-Connected Wave Test Site, Magallanes Renovables ATIR at EMEC"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Changes in sediment dynamics,Fish,NA,Reduced visibility impacting prey detection and obstruction avoidance.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation/mooring installation.,NA,NA,NA,NA,NA,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Atlantic Marine Energy Test Site Environmental Impact Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project, Proposed Torr Head Tidal Scheme Environmental Scoping Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, Atlantic Marine Energy Test Site (AMETS), Swansea Bay Tidal Lagoon (SBTL), Galway Bay Test Site, PacWave South Test Site, Torr Head Project"
"Wave, Tidal",Mitigation,Operation & Maintenance,Entanglement,Marine Mammals,Cetaceans,Potential for marine animals to become entangled in device mooring lines and cables.,Install strain gauges on the device,It allows alerting the operator of an entanglement event,NA,NA,NA,Alerts the opertaor in the event of an entanglement event.,NA,Magallanes ATIR: Project Environmental Monitoring Plan,Magallanes Renovables ATIR at EMEC
"Wave, Tidal",Design feature,Operation & Maintenance,EMF,Fish,Migratory fish,Impacts of electromagnetic fields from subsea cables on sensitive species.,Bury or HDD cables where possible and viable.,"Reduces the level of EMF to surrounding water column and therefore any potential effects. 

Reduces 'snagging risk' for vessels.

Potential for adverse impacts on surrounding benthic habitats and sensitive species, e.g. from smothering.

This measure forms part of normal project design.",NA,NA,This measure is implemented as part of normal project design and is particularly relevant where cables are vulnerable to snagging by fishing vessels or anchor strikes or where shore morphology prevents cable beach landing respectively.,"Reduce the level of EMF to surrounding water column and therefore any potential effects.
Reduces 'snagging risk' for vessels.","May have an impact on surrounding benthic habitats and sensitive species.
Can be very challenging or impossible at sites where seabed tends to be rocky.
Additional expense to the project. 
Reduced possibility for decommissioning.","Atlantic Marine Energy Test Site Environmental Impact Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Environmental Assessment for Hydropower License: PacWave South Project","Atlantic Marine Energy Test Site (AMETS), Swansea Bay Tidal Lagoon (SBTL), PacWave South Test Site"
"Wave, Tidal",Monitoring,Operation & Maintenance,Habitat Creation,Habitat,Benthic species,The introduction of infrastructure and artificial substrates may generate additional habitat diversity.,Structure colonization and biofouling surveys.,"Informs understanding of potential for increased prey availability and ecological diversity which could benefit future project applications, however there is a cost implication associated with monitoring.",NA,NA,May be required by the regulator.,Informs understanding of potential for increased prey availability and ecological diversity.,Cost associated with monitoring.,Strategic Tidal Stream Assessment for Alderney,OpenHydro Alderney
"Wave, Tidal",Design feature,Operation & Maintenance,Displacement,Benthic,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Site selection (taking into account cumulative impact of other developments).,NA,NA,NA,NA,Minimises risk of development causing displacement by avoiding migratory routes or other important sites.,NA,Ness of Duncansby Scoping Report,Ness of Duncansby Tidal Array
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Displacement,Birds,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Timing of installation and decommissioning & marine operations to avoid times of particular sensitivity (e.g. breeding).,NA,NA,NA,NA,Minimizes risk of development causing displacement by avoiding works during sensitive times.,Can be disruptive to installation/decommissioning and hence costly to developer.,"Environmental Scoping Report: Brims Tidal Array, Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Fairhead Tidal Environmental Impact Assessment Scoping Document, Lashy Sound Tidal Array Scoping Report, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project, Proposed Torr Head Tidal Scheme Environmental Scoping Report, Ness of Duncansby Scoping Report","Brims Tidal Array, Wello Penguin at EMEC, EMEC Fall of Warness Grid-Connected Tidal Test Site, Kyle Rhea Tidal Stream Array Project, Westray South Tidal Project, Fair Head Tidal Array, Galway Bay Test Site, PacWave South Test Site, Torr Head Project, Ness of Duncansby Tidal Array"
Tidal,"Mitigation, Design feature",Operation & Maintenance,Collision risk,Marine Mammals,NA,Potential for collision with turbine blades.,Install a 'detect and deter' system using a combination of active sonar and acoustic deterrent device (ADD).,"This could reduce likelihood of collision with moving blades although the efficacy of ADDs in these environments is unknown and habituation to ADDs is known to occur in other industries. Could enable a route through the consenting process.

This measure is expensive to implement and it is still unknown if deterrent systems will help reduce risk. There are also questions around the effects of ADDs on sensitive species. Their addition adds another noise impact which must also be considered in any project assessments. Would rely on well proven and reliable 'detect and deter' systems. Also, mitigation against collision may prevent discovering whether or not it is a real issue.

Further research around ADDs which deter specific groups or species, is underway. This could be useful  in deterring  specific sensitive species or species groups, at a particular site. For example, University of St Andrews is seveloping an ADD which deter seals, but which don't effect cetaceans.",What about the impact on other species of introduced noise?  Chad could be sensitive to seal scarers. Further research is required.,"Device cost from ORJIP offshore wind ADD review.
Powering them.  Cost to developer to maintain ADDs - cost is less tangible.",Further research into the efficacy of this measure is required.,Could reduce likelihood of collision with moving blades and enable a route through the consenting process.,"Would rely on well proven and reliable system - efficacy of ADDs is unknown in these environments and unknown if deterrent systems will help reduce risk. 
Expensive to implement. 
Questions around the effects of ADDs (e.g., added noise) on sensitive species.
Detection systems are currently insufficient to detect animals (in particular at array scale).

Further research around ADDs which deter specific groups or species, is underway. This could be useful  in deterring  specific sensitive species or species groups, at a particular site. For example, University of St Andrews is seveloping an ADD which deter seals, but which don't effect cetaceans.","Churchill Barriers - Wave Overtopping and Tidal Flow Energy Capture: Screening Request, Scotrenewables Tidal Power Ltd SR250 Deployment Fall of Warness: Environmental Statement Volume I - Environmental Statement, SeaGen Environmental Monitoring Programme: Final Report, Oyster 2 Wave Energy Project Environmental Statement, Proposed Torr Head Tidal Scheme Environmental Scoping Report","Churchill Barriers - Wave Overtopping and Tidal Flow Energy Capture, Pelamis Wave Power P2 Demonstration at EMEC, Strangford Lough - MCT (SeaGen), Oyster 800 at EMEC, Torr Head Project"
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Reptiles,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Site selection.,NA,NA,NA,NA,Minimizes significance of interaction.,NA,Ness of Duncansby Scoping Report,Ness of Duncansby Tidal Array
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Fish,NA,The potential wider or secondary effects on protected or sensitive sub-littoral seabed due to removal or alteration of energy flow arising from devices and moorings or support structures.,Site selection.,NA,NA,NA,NA,Minimizes significance of interaction.,NA,Ness of Duncansby Scoping Report,Ness of Duncansby Tidal Array
"Wave, Tidal",Design feature,Installation,Barrier to movement,Habitat,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Site selection to avoid sensitive routes/areas.,NA,NA,NA,NA,Minimizes risk of development acting as a barrier to movement by avoiding migratory routes or other important sites.,NA,"Ness of Duncansby Scoping Report, Environmental Scoping Report: Brims Tidal Array","Ness of Duncansby Tidal Array, Brims Tidal Array"
Tidal,"Mitigation, Design feature",Operation & Maintenance,Marine Non-Native Species (MNNS),Benthic,NA,Potential for introduction of MNNS which can have an adverse impact on the native species at the site.,Antifouling application on components such as the pile and rotor blades.,To prevent colonisation of the device and prevent the structure forming a stepping stone for non-native species.,NA,NA,NA,"Prevents colonization of the device and structure, avoiding forming a stepping stone for non-native species.",NA,"The Kyle Rhea Tidal Stream Array: Environmental Statement, Magallanes ATIR: Project Environmental Monitoring Plan, Fairhead Tidal Environmental Impact Assessment Scoping Document","Kyle Rhea Tidal Stream Array Project, Magallanes Renovables ATIR at EMEC, Fair Head Tidal Array"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Changes in sediment dynamics,Fish,NA,Sediment disturbance disrupting water clarity that results in smothering of fish spawning grounds.,Best practice methodologies to reduce resuspension of sediment during cable burial or device foundation / mooring installation.,NA,NA,NA,NA,NA,NA,"Atlantic Marine Energy Test Site Environmental Impact Statement, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project, Proposed Torr Head Tidal Scheme Environmental Scoping Report","Atlantic Marine Energy Test Site (AMETS), Swansea Bay Tidal Lagoon (SBTL), Galway Bay Test Site, PacWave South Test Site, Torr Head Project"
"Wave, Tidal",Mitigation,Operation & Maintenance,Entrapment,Marine Mammals,NA,Potential risk of entrapment within device chambers and mooring arrays.,Release entrapped animal.,Animal may be deceased before it is able to be released.,NA,Minimal,NA,NA,Animal may be deceased before they are able to be released.,Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring,Swansea Bay Tidal Lagoon (SBTL)
"Wave, Tidal",Design feature,Installation,EMF,Fish,Migratory fish,Impacts of electromagnetic fields from subsea cables on sensitive species.,Micrositing of offshore infrastructure to avoid sensitive habitats and minimise footprint.,This could reduce/remove effects on sensitive habitats and is a relatively low cost measure.,NA,NA,When there are sensitive habitats at the project site.,"Could reduce/remove effects on sensitive habitats. 
Relatively low cost measure.",NA,"West Islay Tidal Energy Park: Environmental Statement, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan, Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report","West Islay Tidal Project Energy Park, EMEC Billia Croo Grid-Connected Wave Test Site, Swansea Bay Tidal Lagoon (SBTL), Galway Bay Test Site"
Wave,Design feature,"Installation, Operation & Maintenance",Habitat Loss,Habitat,Intertidal ecology,Direct loss of protected or sensitive intertidal communities from changes in hydrodynamics due to nearshore WECs.,Micrositing of nearshore WECs  to minimise the impact on sensitive habitats and species.,NA,NA,NA,NA,NA,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Wave Hub Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, MeyGen Tidal Energy Project Phase 1: Environmental Statement, Deployment of a Shallow Water Wave Energy Converter at the EMEC Billia Croo Test Site: Environmental Report and Project-specific Environmental Monitoring Plan, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, Kyle Rhea Tidal Stream Array Project, Wave Hub, Westray South Tidal Project, MeyGen Tidal Energy Project - Phase I, EMEC Billia Croo Grid-Connected Wave Test Site, Galway Bay Test Site"
"Wave, Tidal",Mitigation,"Installation, Operation & Maintenance, Decommissioning",Displacement,Benthic,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,"Timing of installation and decommissioning & marine operations to avoid times of particular sensitivity (e.g., breeding).",NA,NA,NA,NA,Minimises risk of development causing displacement by avoiding works during sensitive times.,Can be disruptive and hence costly to developer.,"Environmental Scoping Report: Brims Tidal Array, Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Fairhead Tidal Environmental Impact Assessment Scoping Document, Lashy Sound Tidal Array Scoping Report, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project, Proposed Torr Head Tidal Scheme Environmental Scoping Report, Ness of Duncansby Scoping Report","Brims Tidal Array, Wello Penguin at EMEC, EMEC Fall of Warness Grid-Connected Tidal Test Site, Kyle Rhea Tidal Stream Array Project, Westray South Tidal Project, Fair Head Tidal Array, Galway Bay Test Site, PacWave South Test Site, Torr Head Project, Ness of Duncansby Tidal Array"
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Displacement,Birds,NA,Potential displacement of essential activities due to the presence of devices and associated moorings/support structures.,Array/mooring configuration designed to avoid migratory routes or other important sites,NA,NA,NA,NA,Minimizes risk of development creating displacement by avoiding migratory routes or other important sites.,"May be inconsistent with optimal layout of the development for exploitation of the energy source.
Can be a costly measure when scaling up to larger arrays.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
Tidal,"Mitigation, Design feature",Operation & Maintenance,Collision risk,Marine Mammals,NA,Potential for collision with turbine blades.,Install acoustic deterrent devices (ADDs).,"This could potentially reduce likelihood of collision with moving blades although the efficacy of ADDs in these environments is unknown. Constant deterring means habituation is likely. This is a simpler system than detect (efficiently) and deter, however would still be expensive to implement. It would also come with an additional noise impact which must also be considered in project assessments.","Ramsey Sound (harbour porpoise) there was a definite pattern of movement - could mean intermittent detterence possible (however, data is needed for this). Developer requires good temporal information before deployment to inform this approach. Ramsey Sound collected data which could be used to modify the ADD deter pattern.  The detection data allowed for a management measure to high risk parts of the cycle. Would help with array deployments, financial implications for detection.","Device cost from ORJIP offshore wind ADD review.
Powering them.  Cost to developer to maintain ADDs - cost is less tangible.",Further research into the efficacy of this measure is required.,"Could reduce likelihood of collision with moving blades. 
Simpler system than detect and deter.","Efficacy of ADDs in these environments is unknown.
Expensive to implement and it is unknown if deterrent systems will help reduce risk.
Questions around the effects of ADDs (e.g., added noise) on sensitive species and constant deterring means habituation is likely.
Detection systems are currently insufficient to detect animals (in particular at array scale).","Swansea Bay Environmental Statement: Chapter 23 Mitigation and Monitoring, Proposed Torr Head Tidal Scheme Environmental Scoping Report","Swansea Bay Tidal Lagoon (SBTL), Torr Head Project"
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Contamination,Reptiles,NA,Potential for accidental or unplanned events which could lead to contamination of the marine environment.,"Physical Containment systems including bulk heads, closed circuit systems, pressure relief systems.",Reduces risk of contamination escaping from structure.,NA,NA,NA,Reduces risk of contamination/pollution escaping from structure.,NA,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, MeyGen Tidal Energy Project Phase 1: Environmental Statement, Atlantic Marine Energy Test Site Environmental Impact Statement, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report","EMEC Fall of Warness Grid-Connected Tidal Test Site, MeyGen Tidal Energy Project - Phase I, Atlantic Marine Energy Test Site (AMETS), Galway Bay Test Site"
Tidal,Design feature,Operation & Maintenance,Changes in water flow,Fish,NA,Modifications to prey distribution and abundance (to include for other receptors) resulting in changes to foraging behavior.,Site selection.,NA,NA,NA,NA,Minimizes significance of interaction.,NA,Ness of Duncansby Scoping Report,Ness of Duncansby Tidal Array
"Wave, Tidal",Design feature,Installation,Barrier to movement,Habitat,NA,"Potential barrier to movement due to the physical presence of devices and associated moorings/support structures, cables and electrical equipment.",Array/mooring configuration designed to avoid migratory routes or other important sites,NA,NA,NA,NA,Minimizes risk of development acting as a barrier to movement by avoiding migratory routes or other important sites.,"May be inconsistent with optimal layout of the development for exploitation of the energy source.
Can be a costly measure when scaling up to larger arrays.","Oyster 2 Wave Energy Project Environmental Statement, Strangford Lough Marine Current Turbine: Environmental Statement","Oyster 800 at EMEC, Strangford Lough - MCT (SeaGen)"
"Wave, Tidal",Mitigation,"Installation, Decommissioning",Airborne noise,Birds,Seabirds,The potential effects from airborne noise generated during installation/construction (excluding piling).,"Avoid/limit 'noisy works' within close proximity to sensitive sites (e.g., known seal haul outs and important cliff nesting sites) during sensitive periods, defining appropriate clearance distances where necessary.","This could reduce potential effects on sensitive species during sensitive periods, but could increase project construction timescales and thus costs e.g. if continuous drilling time is restricted or specific periods need to be avoided.",NA,NA,When in close proximity to designated sites.,Could reduce potential effects on sensitive species during sensitive periods.,"Could increase project construction timescales (e.g., if continuous drilling time is restricted or specific periods need to be avoided) and may increase costs.","Environmental Scoping Report: Brims Tidal Array, Deployment of Wello Oy’s wave energy converter at EMEC’s wave test facility in Orkney: Environmental Statement, EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, The Kyle Rhea Tidal Stream Array: Environmental Statement, Environmental Scoping Report Westray South Tidal Array, Proposed Marwick Head Wave Farm Request for a Scoping Opinion, Fairhead Tidal Environmental Impact Assessment Scoping Document, Lashy Sound Tidal Array Scoping Report, Galway Bay Marine and Renewable Energy Test Site Foreshore Lease Application Environmental Report, Environmental Assessment for Hydropower License: PacWave South Project, Proposed Torr Head Tidal Scheme Environmental Scoping Report","Brims Tidal Array, Wello Penguin at EMEC, EMEC Fall of Warness Grid-Connected Tidal Test Site, Kyle Rhea Tidal Stream Array Project, Westray South Tidal Project, Galway Bay Test Site, PacWave South Test Site, Torr Head Project"
"Wave, Tidal",Design feature,"Installation, Operation & Maintenance, Decommissioning",Changes in sediment dynamics,Fish,NA,Reduced visibility impacting prey detection and obstruction avoidance.,Minimize the amount of structure on the seabed.,NA,NA,NA,NA,Minimizes the changes in sediment dynamics due to presence of structure on the seabed.,"Can present financial, logistical, or design challenges to technology developer to alter design of device/moorings.",Environmental Scoping Report: Brims Tidal Array,Brims Tidal Array
"Wave, Tidal",Mitigation,Operation & Maintenance,Entrapment,Marine Mammals,NA,Potential risk of entrapment within device chambers and mooring arrays.,Regular ROV/drop down camera surveys to establish occurrence of entrapment,NA,NA,NA,NA,Early detection of entrapment .,Additional cost.,"EMEC Tidal Test Facility Fall of Warness Eday, Orkney: Environmental Statement, Scotrenewables Tidal Power Ltd SR250 Deployment Fall of Warness: Environmental Statement Volume I - Environmental Statement, Environmental Monitoring and Mitigation Plan: Shetland Tidal Array, Bluemull Sound, Skerries Tidal Stream Array: Environmental Impact Assessment Scoping Report, Orbital O2 Environmental Monitoring Programme","EMEC Fall of Warness Grid-Connected Tidal Test Site, Nova Tidal Array, Anglesey Skerries Tidal Stream Array"
